"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Sensodyne Whitening Паста за зъби избелваща 75мл.","26053","81","5.47","4.1"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ДЕРМОДРИН УНГВ 30ГР **","26099","91","4.7","4.7"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НУРОФЕН ФОРТЕ ТБ 400МГ Х 12","26629","94","4.6","4.6"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай при Студ и Зима, филтър х 20 броя, Bioprogramme","27763","72","0.92","0.92"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aquafresh Little Teeth Четка за зъби детска 3-5г.","27773","80","4.03","4.03"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aquafresh In Between Clean четка за зъби","27775","80","2.19","2.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","БЕНАЛГИН ПРИ ГЛАВОБОЛИЕ И МИГРЕНА Х 10 **","38991","96","1.8900000000000001","1.8900000000000001"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Hipp 6230 BIO Пюре спагети болонезе, след 4 месеца 190г.","39227","64","2.04","1.8399999999999998"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","КСИЗАЛ ТБ 5МГ Х 7","27819","100","4.65","4.65"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","КСИЗАЛ СОЛ 5МГ/МЛ 20МЛ **","28507","100","5.67","5.67"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Gum PAROEX ГЕЛООБРАЗНА паста за зъби 0.12% 75мл.","28801","81","4.19","4.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Gum ORIGINAL WHITE паста за зъби 75мл.","28803","81","4.79","4.79"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Gum PAROEX паста за зъби 0.06% 75мл.","28809","81","4.19","4.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Вълшебник, филтър х 20 броя, Bioprogramme","28931","72","1.12","1.12"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Elgydium Четка за зъби екстрийм медиум","29293","80","5.57","5.57"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ЧАЙ ЦЯР БЪБРЕЦИ ФИЛТЪР 1,5Г Х 30","29479","72","3.37","3.37"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ЧАЙ ЦЯР ЛОШ ХОЛЕСТЕРОЛ ФИЛТЪР 1,5Г Х 30","29481","72","3.37","3.37"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Hipp 6400 BIO пюре спагети, домати и моцарела, след 8 месеца 220г.","29917","64","2.45","2.45"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НАЗИК КИДС НАЗАЛЕН СПРЕЙ 0,05% 10МЛ **","30339","97","4.9","4.9"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НАЗИК НАЗАЛЕН СПРЕЙ 0,1% 10МЛ **","30341","97","6.64","6.64"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aptamil Lactose Free Мляко без лактоза 400г.","31381","65","12.78","12.78"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","YOTUEL ALL IN ONE ИЗБЕЛВАЩА ПАСТА ЗА ЗЪБИ 75МЛ","31466","81","13.19","13.19"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Safeguard сапун класик 90г.","31524","83","1.22","1.22"
