"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ВИНО ЧЕРВЕНО 750МЛ МЕХАНДЖИЙСКО КАРНОБАТ /2899/","016076","76","1.78",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ ШАТО КАРНОБАТ /2159/","016106","75","4.44",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ ДОМЕЙН БОЙАР ДГР ТР.НИЗИНА /104/","016122","75","5.47",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МЕРЛО 750МЛ ДОМЕЙН БОЙАР ДГР ТР.НИЗИНА /980/","016128","76","5.47",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАБЕРНЕ 750МЛ МЕЗЕК /4404/","016357","76","7.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СОВИНЬОН БЛАН 750МЛ ДОМЕЙН БОЙАР КВАНТУМ /5239/","016435","75","6.49",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ ДОМЕЙН БОЙАР КВАНТУМ /5238/","016445","75","6.49",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАБЕРНЕ 750МЛ ПЕНТАГРАМ ПОМОРИЕ /2277/","016467","76","7.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ ПЕНТАГРАМ ПОМОРИЕ /2279/","016469","75","7.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ТРАМИНЕР 750МЛ МЕНАДА /3830/","016594","75","5.11","4.34"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ТРАМИНЕР 750МЛ ДОМЕЙН БОЙАР КВАНТУМ /5240/","016743","75","6.49",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ТРАМИНЕР 750МЛ ПЕНТАГРАМ ПОМОРИЕ /5890/","016800","75","7.04",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МЕРЛО 750МЛ ВИЛА ЯМБОЛ /6086/","016866","76","4.84",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МУСКАТ 750МЛ ВИЛА ЯМБОЛ /6105/","016867","75","4.84",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ ВИЛА ЯМБОЛ /6106/","016874","75","4.84",""
